Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput,Trust Decay Rate,Consensus Threshold
86,-149.0317314122055,0.04,260,3,0.8820000000000001,0.5499999999999999
87,-152.0151017227791,0.04,261,3,0.9214752881250001,0.5499999999999997
88,-154.5184367324648,0.04,262,2,0.8754015237187501,0.85
89,-131.75480512677805,0.04,263,2,0.9100142954283172,0.4999999999999997
90,-36.10299176409473,0.04,263,2,0.8379000000000001,0.5499999999999997
91,-154.74030621293394,0.04,265,2,0.9405,0.7999999999999999
92,-61.3152209654695,0.07692307692307693,270,4,0.8,0.9
93,104.81369599649418,0.07692307692307693,271,2,0.99,0.5499999999999997
94,-63.49193734006994,0.07692307692307693,271,2,0.8400000000000001,0.6499999999999998
95,-117.73946438055661,0.04,273,3,0.9288023844804745,0.85
96,-395.5311406133545,0.0,274,3,0.8,0.6999999999999998
97,-360.980120463336,0.04,275,3,0.8,0.44999999999999996
98,55.365392226392956,0.07692307692307693,277,2,0.99,0.35
99,110.35087349647857,0.07692307692307693,281,3,0.846679246875,0.9
100,-10.071035482845968,0.04,281,3,0.99,0.6999999999999998
