Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput,Trust Decay Rate,Consensus Threshold,FHE Avg Overhead ms
1,186.02553271844621,0.5636363636363637,2,5,0.99,0.5499999999999999,0.002308910885333821
2,186.1456959089802,0.5636363636363637,3,52,0.99,0.6,0.002094807243929136
3,240.5051247595651,0.6666666666666667,4,69,0.9405,0.7000000000000001,0.002147265291766219
